h	k	l	intensity_exp	intensity_sim	intensity_sim_normalised	ratio	rfactor_normalised	rfactor_not_normalised	min_loss
-5	0	-13	516.2	944.6485	0.013061418	1.1067199870293825	0.5490907037799455	1.3230673488840206	0.0006889558280818164
5	0	13	642.1	944.6485	0.013061418	1.3766464619751384	0.5490907037799455	1.3230673488840206	0.0006889558280818164
-5	0	-17	533.6	742.11414	0.010261026	1.456247303880567	0.5490907037799455	1.3230673488840206	0.0006889558280818164
-5	0	-21	480.7	879.0925	0.012154993	1.1074637953388367	0.5490907037799455	1.3230673488840206	0.0006889558280818164
-7	0	21	639.0	124.221214	0.0017175756	10.418257540305914	0.5490907037799455	1.3230673488840206	0.0006889558280818164
7	0	-15	419.4	1563.8448	0.02162289	0.5431562576500404	0.5490907037799455	1.3230673488840206	0.0006889558280818164
7	0	-13	482.5	872.2299	0.012060105	1.1203567877375522	0.5490907037799455	1.3230673488840206	0.0006889558280818164
7	0	-9	593.9	855.23517	0.011825123	1.406428890065326	0.5490907037799455	1.3230673488840206	0.0006889558280818164
7	0	-7	561.9	650.3971	0.008992878	1.7497276122831766	0.5490907037799455	1.3230673488840206	0.0006889558280818164
7	0	15	493.4	1223.2137	0.01691307	0.8169337075747027	0.5490907037799455	1.3230673488840206	0.0006889558280818164
7	0	23	863.8	258.92432	0.0035800817	6.756633754380608	0.5490907037799455	1.3230673488840206	0.0006889558280818164
9	0	-15	569.2	999.73724	0.013823116	1.1531054478004705	0.5490907037799455	1.3230673488840206	0.0006889558280818164
9	0	-9	870.4	382.4992	0.0052887206	4.60869886349376	0.5490907037799455	1.3230673488840206	0.0006889558280818164
