h,k,l,j,i,intensity_exp,intensity_exp_err,intensity_sim,percentage_diff,,,,
-4,4.666666667,3,,,0.1311093,0,0.07328743,898.1288433271301,,,,
-1,4.666666667,3,,,0.073882651,0,0.027906997,574.4678670310977,,,,
-3.666666667,1,0,,,0.373669587,0,0.1928204,821.4162255660808,,,,
-0.666666667,1,0,,,2.780073758,0,0.50182784,222.32133863188838,,,,
-0.333333333,1,0,,,1.541749315,0,0.21924175,153.92188354060454,,,,
-2.666666667,2,0,,,1.44787307,0,0.28258112,248.5004004536458,,,,
-0.333333333,2,0,,,2.543871337,0,0.4740671,232.76320301054832,,,,
-1,2.333333333,0,,,2.7543162,0,0.42269012,174.03051842996987,,,,
-2,2.666666667,0,,,0.181981114,0,0.23932335,2248.2772918181104,,,,
-1,2.666666667,0,,,2.810634694,0,0.524697,233.34566499473252,,,,
-4.666666667,3,0,,,1.00209172,0,0.18018529,221.07203728120152,,,,
-2.333333333,3,0,,,1.52117944,0,0.1801795,111.50253403546732,,,,
-2,3.333333333,0,,,0.374826558,0,0.1990221,848.1162207321463,,,,
-4,3.333333333,0,,,0.232890712,0,0.08428457,546.2291103199478,,,,
-2,3.666666667,0,,,0.570801023,0,0.3568458,1016.3142556874308,,,,
-4,3.666666667,0,,,0.55423219,0,0.23719825,664.2058539226603,,,,
-3.666666667,4,0,,,0.288525656,0,0.18700899,1057.3605644658835,,,,
-3.333333333,4,0,,,0.351300143,0,0.17277823,778.2159737761377,,,,
-4.333333333,4,0,,,0.830277448,0,0.27149034,483.8775282693607,,,,
-2,4.333333333,0,,,0.474521456,0,0.29266414,1001.2965712417337,,,,
-3,4.333333333,0,,,0.328551358,0,0.13668665,642.8711138626497,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
