h,k,l,intensity_exp,intensity_exp_err,intensity_sim,normalised_intensity_exp
0.0,-0.111111111111111,0.0,0.0,0.0,0.004881818,0.0
0.0,-0.222222222222222,0.0,0.0,0.0,0.016490439,0.0
0.0,-0.333333333333333,0.0,0.0,0.0,0.04098655,0.0
0.0,-0.444444444444444,0.0,0.0,0.0,0.068624444,0.0
0.0,-0.555555555555556,0.0,0.0,0.0,0.04827277,0.0
0.0,-0.666666666666667,0.0,0.0,0.0,0.07216825,0.0
0.0,-0.777777777777778,0.0,0.0,0.0,0.015617272,0.0
0.0,-0.888888888888889,0.0,1.72320564623419,0.0,0.029787196,0.041787570021460385
0.0,-1.11111111111111,0.0,0.0,0.0,0.012750593,0.0
0.0,-1.22222222222222,0.0,0.0,0.0,0.04799368,0.0
0.0,-1.33333333333333,0.0,0.391262726229631,0.0,0.053448997,0.00948808321562694
0.0,-1.44444444444444,0.0,0.0,0.0,0.0058847927,0.0
0.0,-1.55555555555556,0.0,0.0,0.0,0.045806956,0.0
0.0,-1.66666666666667,0.0,0.0,0.0,0.007291824,0.0
0.0,-1.77777777777778,0.0,178.033015491396,0.0,0.5483245,4.317283382419575
0.0,-1.88888888888889,0.0,0.0,0.0,0.0016511193,0.0
0.0,-2.11111111111111,0.0,0.0,0.0,0.005112895,0.0
0.0,-2.22222222222222,0.0,0.0,0.0,0.08181818,0.0
0.0,-2.33333333333333,0.0,15.8712996311208,0.0,0.007196392,0.3848774788525179
0.0,-2.44444444444444,0.0,0.0,0.0,0.05333158,0.0
0.0,-2.55555555555556,0.0,0.0,0.0,0.025329785,0.0
0.0,-2.66666666666667,0.0,0.824367156681975,0.0,0.04539479,0.019990823706109533
0.0,-2.77777777777778,0.0,0.0,0.0,0.013976018,0.0
0.0,-2.88888888888889,0.0,0.0,0.0,0.034151156,0.0
0.0,-3.11111111111111,0.0,0.0,0.0,0.023828564,0.0
0.0,-3.22222222222222,0.0,0.0,0.0,0.010564446,0.0
0.0,-3.33333333333333,0.0,2.49197608789587,0.0,0.008976259,0.06043017877310358
0.0,-3.44444444444444,0.0,0.0,0.0,0.008679701,0.0
0.0,-3.55555555555556,0.0,23.7481817590712,0.0,0.04476262,0.5758911075461322
0.0,-3.66666666666667,0.0,12.7556851483147,0.0,6.224062e-05,0.3093241294048443
0.0,-3.77777777777778,0.0,0.0,0.0,0.024289256,0.0
0.0,-3.88888888888889,0.0,0.0,0.0,0.0037809731,0.0
0.0,-4.11111111111111,0.0,0.0,0.0,0.0006888771,0.0
0.0,-4.22222222222222,0.0,0.0,0.0,0.017022736,0.0
0.0,-4.33333333333333,0.0,8.26027457878463,0.0,0.008697323,0.20031085849317207
0.0,-4.44444444444444,0.0,0.0,0.0,0.028243631,0.0
0.0,-4.55555555555556,0.0,0.0,0.0,0.010304617,0.0
0.0,-4.66666666666667,0.0,0.0,0.0,0.010240228,0.0
0.0,-4.77777777777778,0.0,0.0,0.0,0.0034700388,0.0
0.0,-4.88888888888889,0.0,0.0,0.0,0.0060013016,0.0
0.0,-0.0,0.111111111111111,0.0,0.0,3.5639248,0.0
0.0,-0.111111111111111,0.111111111111111,0.0,0.0,0.001842988,0.0
0.0,-0.222222222222222,0.111111111111111,0.0,0.0,0.009912394,0.0
0.0,-0.333333333333333,0.111111111111111,0.0,0.0,0.014254396,0.0
0.0,-0.444444444444444,0.111111111111111,0.0,0.0,0.048656583,0.0
0.0,-0.555555555555556,0.111111111111111,0.0,0.0,0.039650515,0.0
0.0,-0.666666666666667,0.111111111111111,0.0,0.0,0.047659766,0.0
0.0,-0.777777777777778,0.111111111111111,0.0,0.0,0.013017439,0.0
0.0,-0.888888888888889,0.111111111111111,0.0,0.0,0.013708111,0.0
0.0,-1.0,0.111111111111111,0.0,0.0,0.06483311,0.0
0.0,-1.11111111111111,0.111111111111111,0.0,0.0,0.005507403,0.0
0.0,-1.22222222222222,0.111111111111111,0.0,0.0,0.026460513,0.0
0.0,-1.33333333333333,0.111111111111111,0.0,0.0,0.033686616,0.0
0.0,-1.44444444444444,0.111111111111111,0.0,0.0,0.006679738,0.0
0.0,-1.55555555555556,0.111111111111111,0.0,0.0,0.032932945,0.0
0.0,-1.66666666666667,0.111111111111111,0.0,0.0,0.0026270822,0.0
0.0,-1.77777777777778,0.111111111111111,0.0,0.0,0.3703714,0.0
0.0,-1.88888888888889,0.111111111111111,0.0,0.0,0.0012997487,0.0
0.0,-2.0,0.111111111111111,0.0,0.0,0.05715796,0.0
0.0,-2.11111111111111,0.111111111111111,0.0,0.0,0.0025655753,0.0
0.0,-2.22222222222222,0.111111111111111,0.0,0.0,0.048042838,0.0
0.0,-2.33333333333333,0.111111111111111,0.0,0.0,0.0070988443,0.0
0.0,-2.44444444444444,0.111111111111111,0.0,0.0,0.043420598,0.0
0.0,-2.55555555555556,0.111111111111111,0.0,0.0,0.022232166,0.0
0.0,-2.66666666666667,0.111111111111111,0.0,0.0,0.023514407,0.0
0.0,-2.77777777777778,0.111111111111111,0.0,0.0,0.008948568,0.0
0.0,-2.88888888888889,0.111111111111111,0.0,0.0,0.02243044,0.0
0.0,-3.0,0.111111111111111,0.0,0.0,0.024036387,0.0
0.0,-3.11111111111111,0.111111111111111,0.0,0.0,0.013396774,0.0
0.0,-3.22222222222222,0.111111111111111,0.0,0.0,0.008775671,0.0
0.0,-3.33333333333333,0.111111111111111,0.0,0.0,0.004765515,0.0
0.0,-3.44444444444444,0.111111111111111,0.0,0.0,0.0068788077,0.0
0.0,-3.55555555555556,0.111111111111111,0.0,0.0,0.028767278,0.0
0.0,-3.66666666666667,0.111111111111111,0.0,0.0,2.007471e-06,0.0
0.0,-3.77777777777778,0.111111111111111,0.0,0.0,0.019213423,0.0
0.0,-3.88888888888889,0.111111111111111,0.0,0.0,0.0018746698,0.0
0.0,-4.0,0.111111111111111,0.0,0.0,0.04312178,0.0
0.0,-4.11111111111111,0.111111111111111,0.0,0.0,0.0006942034,0.0
0.0,-4.22222222222222,0.111111111111111,0.0,0.0,0.013205076,0.0
0.0,-4.33333333333333,0.111111111111111,0.0,0.0,0.0067852126,0.0
0.0,-4.44444444444444,0.111111111111111,0.0,0.0,0.01898263,0.0
0.0,-4.55555555555556,0.111111111111111,0.0,0.0,0.007209316,0.0
0.0,-4.66666666666667,0.111111111111111,0.0,0.0,0.008430552,0.0
0.0,-4.77777777777778,0.111111111111111,0.0,0.0,0.0030566282,0.0
0.0,-4.88888888888889,0.111111111111111,0.0,0.0,0.003054785,0.0
0.0,-5.0,0.111111111111111,0.0,0.0,0.02461671,0.0
0.0,-0.0,0.222222222222222,0.0,0.0,0.77627313,0.0
0.0,-0.111111111111111,0.222222222222222,0.0,0.0,0.0007118094,0.0
0.0,-0.222222222222222,0.222222222222222,0.0,0.0,0.00357824,0.0
0.0,-0.333333333333333,0.222222222222222,0.0,0.0,0.00048289378,0.0
0.0,-0.444444444444444,0.222222222222222,0.0,0.0,0.021379732,0.0
0.0,-0.555555555555556,0.222222222222222,0.0,0.0,0.008404026,0.0
0.0,-0.666666666666667,0.222222222222222,0.0,0.0,0.014870748,0.0
0.0,-0.777777777777778,0.222222222222222,0.0,0.0,0.007789493,0.0
0.0,-0.888888888888889,0.222222222222222,0.0,0.0,0.0012771718,0.0
0.0,-1.0,0.222222222222222,0.0,0.0,0.018128825,0.0
0.0,-1.11111111111111,0.222222222222222,0.0,0.0,0.000234039,0.0
0.0,-1.22222222222222,0.222222222222222,0.0,0.0,0.0034839306,0.0
0.0,-1.33333333333333,0.222222222222222,0.0,0.0,0.011004124,0.0
0.0,-1.44444444444444,0.222222222222222,0.0,0.0,0.0047218394,0.0
0.0,-1.55555555555556,0.222222222222222,0.0,0.0,0.010326879,0.0
0.0,-1.66666666666667,0.222222222222222,0.0,0.0,0.00038299296,0.0
0.0,-1.77777777777778,0.222222222222222,0.0,0.0,0.094759054,0.0
0.0,-1.88888888888889,0.222222222222222,0.0,0.0,0.00039982324,0.0
0.0,-2.0,0.222222222222222,0.0,0.0,0.038696308,0.0
0.0,-2.11111111111111,0.222222222222222,0.0,0.0,0.0024241002,0.0
0.0,-2.22222222222222,0.222222222222222,0.0,0.0,0.010209636,0.0
0.0,-2.33333333333333,0.222222222222222,0.0,0.0,0.0039937487,0.0
0.0,-2.44444444444444,0.222222222222222,0.0,0.0,0.01735528,0.0
0.0,-2.55555555555556,0.222222222222222,0.0,0.0,0.010849041,0.0
0.0,-2.66666666666667,0.222222222222222,0.0,0.0,0.0015463472,0.0
0.0,-2.77777777777778,0.222222222222222,0.0,0.0,0.0013034479,0.0
0.0,-2.88888888888889,0.222222222222222,0.0,0.0,0.0024692458,0.0
0.0,-3.0,0.222222222222222,0.0,0.0,0.018922675,0.0
0.0,-3.11111111111111,0.222222222222222,0.0,0.0,0.001164426,0.0
0.0,-3.22222222222222,0.222222222222222,0.0,0.0,0.004311301,0.0
0.0,-3.33333333333333,0.222222222222222,0.0,0.0,0.0013188615,0.0
0.0,-3.44444444444444,0.222222222222222,0.0,0.0,0.003205272,0.0
0.0,-3.55555555555556,0.222222222222222,0.0,0.0,0.0070297406,0.0
0.0,-3.66666666666667,0.222222222222222,0.0,0.0,0.00018587624,0.0
0.0,-3.77777777777778,0.222222222222222,0.0,0.0,0.0058614505,0.0
0.0,-3.88888888888889,0.222222222222222,0.0,0.0,0.0005682516,0.0
0.0,-4.0,0.222222222222222,0.0,0.0,0.012844627,0.0
0.0,-4.11111111111111,0.222222222222222,0.0,0.0,0.002482991,0.0
0.0,-4.22222222222222,0.222222222222222,0.0,0.0,0.0054329885,0.0
0.0,-4.33333333333333,0.222222222222222,0.0,0.0,0.0021623203,0.0
0.0,-4.44444444444444,0.222222222222222,0.0,0.0,0.004323377,0.0
0.0,-4.55555555555556,0.222222222222222,0.0,0.0,0.0030517827,0.0
0.0,-4.66666666666667,0.222222222222222,0.0,0.0,0.0027433129,0.0
0.0,-4.77777777777778,0.222222222222222,0.0,0.0,0.001355893,0.0
0.0,-4.88888888888889,0.222222222222222,0.0,0.0,0.0012271215,0.0
0.0,-5.0,0.222222222222222,0.0,0.0,0.008602611,0.0
0.0,-0.0,0.333333333333333,0.0,0.0,0.0012065461,0.0
0.0,-0.111111111111111,0.333333333333333,0.0,0.0,0.0009982309,0.0
0.0,-0.222222222222222,0.333333333333333,0.0,0.0,0.0019961668,0.0
0.0,-0.333333333333333,0.333333333333333,0.0,0.0,0.004843976,0.0
0.0,-0.444444444444444,0.333333333333333,0.0,0.0,0.005379423,0.0
