h,k,l,intensity_exp,intensity_exp_err
-3.333333333,4,3,2.585033006,0
-4,4,3,88.10832977,0
-4.333333333,4,3,0.775260911,0
-4.666666667,4,3,0.318448453,0
-1,4.333333333,3,0.629223944,0
-2,4.333333333,3,0.342935811,0
-3,4.333333333,3,0.501164581,0
-4,4.333333333,3,0.266284317,0
0,4.666666667,3,0.646689415,0
-1,4.666666667,3,0.313744932,0
-2,4.666666667,3,0.527645528,0
-4,4.666666667,3,0.581620693,0
0,0,6,5559.962402,0
-0.333333333,0,6,2.722154335,0
-1,0,6,1602.721313,0
-1.666666667,0,6,9.228140412,0
-2,0,6,8416.90918,0
-2.333333333,0,6,12.19245042,0
-2.666666667,0,6,0.587282898,0
-3,0,6,1313.860962,0
-3.333333333,0,6,4.245114946,0
-3.666666667,0,6,6.771548017,0
-4,0,6,3210.230225,0
-4.333333333,0,6,6.213862253,0
-4.666666667,0,6,0.428479515,0
0,0.333333333,6,11.09605397,0
-1,0.333333333,6,1.917165612,0
-2,0.333333333,6,12.6736158,0
-3,0.333333333,6,0.666745989,0
-4,0.333333333,6,2.354923169,0
-1,0.666666667,6,1.460786581,0
-3,0.666666667,6,1.087888792,0
0,1,6,1201.172119,0
-0.333333333,1,6,0.436362552,0
-0.666666667,1,6,0.921081168,0
-1,1,6,9019.470703,0
-1.333333333,1,6,12.79635053,0
-2,1,6,895.9468384,0
-2.333333333,1,6,6.538108327,0
-2.666666667,1,6,10.54955287,0
-3,1,6,3415.435547,0
-3.333333333,1,6,25.91580196,0
-4,1,6,256.7538452,0
-4.333333333,1,6,7.72991232,0
-4.666666667,1,6,5.425413554,0
-1,1.333333333,6,21.7604776,0
-2,1.333333333,6,0.7077384,0
-3,1.333333333,6,10.25969466,0
0,1.666666667,6,17.70319577,0
-2,1.666666667,6,10.16254858,0
-4,1.666666667,6,1.628142233,0
0,2,6,9542.501953,0
-0.333333333,2,6,1.456555681,0
-1,2,6,1576.115967,0
-1.666666667,2,6,7.182732915,0
-2,2,6,10446.12988,0
-2.333333333,2,6,14.45020172,0
-2.666666667,2,6,0.478740892,0
-3,2,6,831.1802368,0
-3.333333333,2,6,3.601845303,0
-3.666666667,2,6,6.788634614,0
-4,2,6,5604.941895,0
-4.333333333,2,6,5.697004849,0
-4.666666667,2,6,0.797048071,0
0,2.333333333,6,10.46840225,0
-1,2.333333333,6,3.724692726,0
-2,2.333333333,6,5.427693763,0
-3,2.333333333,6,0.953255221,0
-4,2.333333333,6,1.907417676,0
0,2.666666667,6,0.792556584,0
-1,2.666666667,6,2.426027664,0
-2,2.666666667,6,0.755639841,0
-3,2.666666667,6,0.925891595,0
-4,2.666666667,6,0.298140767,0
0,3,6,35.48390579,0
-1,3,6,2719.623291,0
-1.333333333,3,6,4.301077209,0
-2,3,6,1013.144653,0
-2.333333333,3,6,1.826511359,0
-2.666666667,3,6,2.312323545,0
-3,3,6,3110.431152,0
-3.333333333,3,6,5.817030682,0
-3.666666667,3,6,0.261342496,0
-4,3,6,493.1038513,0
-4.333333333,3,6,1.76560368,0
-4.666666667,3,6,0.895500687,0
0,3.333333333,6,0.430979284,0
-1,3.333333333,6,2.046190529,0
-2,3.333333333,6,0.323047888,0
-3,3.333333333,6,1.486587275,0
-4,3.333333333,6,0.244368454,0
0,3.666666667,6,0.741457064,0
-2,3.666666667,6,0.777849098,0
-4,3.666666667,6,0.420708491,0
0,4,6,204.9134827,0
-0.333333333,4,6,0.470419717,0
-1,4,6,173.5409698,0
-1.666666667,4,6,0.464019245,0
-2,4,6,8421.085938,0
-2.333333333,4,6,2.630769519,0
-2.666666667,4,6,0.049837116,0
-3,4,6,426.7973633,0
-3.333333333,4,6,0.454792801,0
-3.666666667,4,6,0.660747114,0
-4,4,6,3392.456299,0
-4.333333333,4,6,1.166372629,0
-4.666666667,4,6,0.145404423,0
0,4.333333333,6,0.760839876,0
-1,4.333333333,6,0.29365079,0
-2,4.333333333,6,0.615475813,0
-3,4.333333333,6,0.235651844,0
-4,4.333333333,6,0.272370414,0
0,4.666666667,6,0.410302818,0
-1,4.666666667,6,0.262536075,0
-2,4.666666667,6,0.379262716,0
-3,4.666666667,6,0.577374399,0
0,0,9,778.8980103,0
-0.333333333,0,9,0.45318185,0
-0.666666667,0,9,0.22496346,0
-1,0,9,2906.797363,0
-1.333333333,0,9,6.962357722,0
-2,0,9,636.2091064,0
-2.333333333,0,9,2.568112124,0
-2.666666667,0,9,3.300061432,0
-3,0,9,2011.394897,0
-3.333333333,0,9,6.789760105,0
-4,0,9,81.86328125,0
-4.333333333,0,9,3.291811416,0
-4.666666667,0,9,2.369370703,0
0,0.333333333,9,0.929527006,0
-1,0.333333333,9,1.356648299,0
-2,0.333333333,9,0.594454316,0
-3,0.333333333,9,1.035730952,0
-4,0.333333333,9,0.342700579,0
0,0.666666667,9,3.061598762,0
-4,0.666666667,9,1.602297693,0
0,1,9,9841.0625,0
-0.333333333,1,9,0.801716574,0
-0.666666667,1,9,0.140050693,0
-1,1,9,2752.495361,0
-1.333333333,1,9,2.479909609,0
-1.666666667,1,9,2.657693166,0
-2,1,9,3896.101074,0
-2.333333333,1,9,11.10498977,0
-3,1,9,1171.524658,0
-3.333333333,1,9,4.38427735,0
-3.666666667,1,9,3.288877914,0
-4,1,9,1968.979614,0
-4.333333333,1,9,9.874928732,0
-4.666666667,1,9,0.544353422,0
0,1.333333333,9,11.85003916,0
-1,1.333333333,9,4.272603691,0
-2,1.333333333,9,9.087446182,0
-3,1.333333333,9,1.980246566,0
-4,1.333333333,9,3.385607552,0
-1,1.666666667,9,2.675855773,0
-3,1.666666667,9,1.527447724,0
0,2,9,338.7028503,0
-1,2,9,6221.881348,0
-1.333333333,2,9,6.087429455,0
-2,2,9,491.9818726,0
-2.333333333,2,9,2.251722078,0
-2.666666667,2,9,3.969482021,0
-3,2,9,2827.816162,0
-3.333333333,2,9,7.778661371,0
-4,2,9,128.2971802,0
-4.333333333,2,9,4.794145039,0
-4.666666667,2,9,2.466363045,0
0,2.333333333,9,3.512927352,0
-1,2.333333333,9,7.272347599,0
-2,2.333333333,9,1.804851774,0
-3,2.333333333,9,2.035565462,0
-4,2.333333333,9,0.513354735,0
0,2.666666667,9,2.286427152,0
-2,2.666666667,9,0.965157779,0
-4,2.666666667,9,0.57008819,0
0,3,9,142.09935,0
-1,3,9,701.3556519,0
-1.333333333,3,9,0.753166484,0
-1.666666667,3,9,0.485567731,0
-2,3,9,2351.767578,0
-2.333333333,3,9,2.871026421,0
-3,3,9,1632.320923,0
-3.333333333,3,9,1.31801295,0
-3.666666667,3,9,2.293320467,0
-4,3,9,4524.036133,0
-4.333333333,3,9,3.632204194,0
0,3.333333333,9,1.715587668,0
-1,3.333333333,9,0.88363377,0
-2,3.333333333,9,1.418750298,0
-3,3.333333333,9,0.424521144,0
-4,3.333333333,9,0.676604813,0
-1,3.666666667,9,0.31942622,0
-3,3.666666667,9,1.086572237,0
0,4,9,2.792820525,0
-1,4,9,168.3179474,0
-1.333333333,4,9,0.703012532,0
-2,4,9,67.61061096,0
-2.333333333,4,9,0.470569395,0
-3,4,9,1425.478516,0
-3.333333333,4,9,1.483025671,0
-4,4,9,228.0606842,0
-4.333333333,4,9,0.714691735,0
-4.666666667,4,9,0.367528737,0
0,4.333333333,9,0.250139678,0
-1,4.333333333,9,0.634242628,0
-2,4.333333333,9,0.168614256,0
-3,4.333333333,9,0.36483677,0
-4,4.333333333,9,0.335925771,0
0,4.666666667,9,0.187547776,0
-2,4.666666667,9,0.749242306,0
-4,4.666666667,9,0.485469341,0
0,1,12,433.9399414,0
-1,1,12,4277.704102,0
-1.333333333,1,12,6.042756086,0
-2,1,12,411.9496155,0
-2.333333333,1,12,1.739981928,0
-2.666666667,1,12,2.532695254,0
