h,k,l,intensity_exp,intensity_exp_err
-0.333333333,0,6,2.722154335,0
-1.666666667,0,6,9.228140412,0
-2.333333333,0,6,12.19245042,0
-2.666666667,0,6,0.587282898,0
-3.333333333,0,6,4.245114946,0
-3.666666667,0,6,6.771548017,0
-4.333333333,0,6,6.213862253,0
-4.666666667,0,6,0.428479515,0
0,0.333333333,6,11.09605397,0
-1,0.333333333,6,1.917165612,0
-2,0.333333333,6,12.6736158,0
-3,0.333333333,6,0.666745989,0
-4,0.333333333,6,2.354923169,0
-1,0.666666667,6,1.460786581,0
-3,0.666666667,6,1.087888792,0
-0.333333333,1,6,0.436362552,0
-0.666666667,1,6,0.921081168,0
-1.333333333,1,6,12.79635053,0
-2.333333333,1,6,6.538108327,0
-2.666666667,1,6,10.54955287,0
-3.333333333,1,6,25.91580196,0
-4.333333333,1,6,7.72991232,0
-4.666666667,1,6,5.425413554,0
-1,1.333333333,6,21.7604776,0
-2,1.333333333,6,0.7077384,0
-3,1.333333333,6,10.25969466,0
0,1.666666667,6,17.70319577,0
-2,1.666666667,6,10.16254858,0
-4,1.666666667,6,1.628142233,0
-0.333333333,2,6,1.456555681,0
-1.666666667,2,6,7.182732915,0
-2.333333333,2,6,14.45020172,0
-2.666666667,2,6,0.478740892,0
-3.333333333,2,6,3.601845303,0
-3.666666667,2,6,6.788634614,0
-4.333333333,2,6,5.697004849,0
-4.666666667,2,6,0.797048071,0
0,2.333333333,6,10.46840225,0
-1,2.333333333,6,3.724692726,0
-2,2.333333333,6,5.427693763,0
-3,2.333333333,6,0.953255221,0
-4,2.333333333,6,1.907417676,0
0,2.666666667,6,0.792556584,0
-1,2.666666667,6,2.426027664,0
-2,2.666666667,6,0.755639841,0
-3,2.666666667,6,0.925891595,0
-4,2.666666667,6,0.298140767,0
-1.333333333,3,6,4.301077209,0
-2.333333333,3,6,1.826511359,0
-2.666666667,3,6,2.312323545,0
-3.333333333,3,6,5.817030682,0
-3.666666667,3,6,0.261342496,0
-4.333333333,3,6,1.76560368,0
-4.666666667,3,6,0.895500687,0
