h,k,l,h_cor,k_cor,l_cor,h_err,k_err,l_err,volume,volume_err,fwhm volume,fwhm err,intensity_exp,intensity_exp_err,intensity_sim,combined_intensities
-0.5,-0.5,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0007031813,0
0.5,-0.5,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.16386396,0
-1.5,-0.5,0.0,-1.5638383838383838,-0.5703030303030303,-0.0703030303030303,1.42,1.5,0.0549999999999997,22.402937254317617,0.8803258055136953,4.934125900268555,0.1953642495698376,0.0195520588360398,0.0014126655352285,0.047119975,0
1.5,-0.5,0.0,1.4345454545454546,-0.5703030303030303,-0.0703030303030303,2.6000000000000005,2.45,0.0449999999999999,16.6601933668706,1.942043889127561,2.8182475566864014,0.2765599788365302,0.0195520588360398,0.0014126655352285,0.15740058,0
-2.5,-0.5,0.0,-2.563838383838384,-0.5686868686868687,-0.0686868686868686,1.33,0.9449999999999998,0.0099999999999997,113.23151062409336,12.020637203868736,74.97848510742188,0.4439640645628439,0.1027543594324049,0.0139188881941189,0.10863608,0
2.5,-0.5,0.0,2.432929292929293,-0.5703030303030303,-0.0686868686868686,1.895,1.19,0.0250000000000003,92.06180390940318,15.787960969248749,101.5841064453125,1.4957740102159855,0.1027543594324049,0.0139188881941189,0.14149977,0
-3.5,-0.5,0.0,-3.563838383838384,-0.5686868686868687,-0.0686868686868686,0.71,0.7399999999999998,0.0100000000000006,174.98023454850443,3.587538402725976,198.05455017089844,0.1210057720446078,0.1665636899210831,0.0062527563389932,0.07995363,0
3.5,-0.5,0.0,3.432929292929293,-0.5686868686868687,-0.067070707070707,1.5150000000000006,1.3000000000000005,0.02,157.79797723454746,8.904866599775843,129.75454711914062,0.2045349711951967,0.1665636899210831,0.0062527563389932,0.07905667,0
-4.5,-0.5,0.0,-4.563838383838384,-0.5686868686868687,-0.0686868686868686,0.7000000000000002,0.81,0.04,145.18640181943306,2.386930308017565,249.2014617919922,0.297801960190365,0.1308412961980012,0.0046729908796203,0.041788347,0
4.5,-0.5,0.0,4.431313131313131,-0.5686868686868687,-0.0686868686868686,2.165,2.1950000000000003,0.04,116.22190749922451,6.949255443723098,44.09520721435547,0.0807410681721499,0.1308412961980012,0.0046729908796203,0.020926334,0
