[O2-. ( 8), [0.017799999999999983, 0.25, 0.31693000000000005]]
[O2-. ( 8), [0.4822, 0.75, 0.68307]]
[O2-. ( 8), [0.9822, 0.25, 0.68307]]
[O2-. ( 8), [0.4822, 0.375, 0.18307]]
[O2-. ( 8), [0.9822, 0.875, 0.18307]]
[O2-. ( 8), [0.5178, 0.375, 0.8169299999999999]]
[O2-. ( 8), [0.017799999999999983, 0.875, 0.8169299999999999]]
[O2-. ( 8), [0.5178, 0.625, 0.8169299999999999]]
[O2-. ( 8), [0.017799999999999983, 0.125, 0.8169299999999999]]
[O2-. ( 8), [0.4822, 0.625, 0.18307]]
[O2-. ( 8), [0.9822, 0.125, 0.18307]]
[O2-. ( 8), [0.9822, 0.0, 0.68307]]
[O2-. ( 8), [0.4822, 0.5, 0.68307]]
[O2-. ( 8), [0.0178, 0.0, 0.31693000000000005]]
[O2-. ( 8), [0.5178, 0.5, 0.31693000000000005]]
[O2-. ( 8), [0.4822, 0.0, 0.68307]]
[O2-. ( 8), [0.9822, 0.5, 0.68307]]
[O2-. ( 8), [0.5178, 0.0, 0.31693000000000005]]
[O2-. ( 8), [0.017799999999999983, 0.5, 0.31693000000000005]]
[O2-. ( 8), [0.7678, 0.25, 0.18307]]
[O2-. ( 8), [0.26780000000000004, 0.75, 0.18307]]
[O2-. ( 8), [0.23219999999999996, 0.25, 0.8169299999999999]]
[O2-. ( 8), [0.7322, 0.75, 0.8169299999999999]]
[O2-. ( 8), [0.23219999999999996, 0.75, 0.8169299999999999]]
[O2-. ( 8), [0.7322, 0.25, 0.8169299999999999]]
[O2-. ( 8), [0.7678, 0.75, 0.18307]]
[O2-. ( 8), [0.26780000000000004, 0.25, 0.18307]]
[O2-. ( 8), [0.7678, 0.375, 0.68307]]
[O2-. ( 8), [0.26780000000000004, 0.875, 0.68307]]
[O2-. ( 8), [0.23219999999999996, 0.375, 0.31693000000000005]]
[O2-. ( 8), [0.7322, 0.875, 0.31693000000000005]]
[O2-. ( 8), [0.23219999999999996, 0.625, 0.31693000000000005]]
[O2-. ( 8), [0.7322, 0.125, 0.31693000000000005]]
[O2-. ( 8), [0.7678, 0.625, 0.68307]]
[O2-. ( 8), [0.26780000000000004, 0.125, 0.68307]]
[O2-. ( 8), [0.2678, 0.0, 0.18307]]
