h,k,l,intensity_exp,intensity_exp_err
-0.333333333333333,1.0,12.0,0.0,0.0
-0.666666666666667,1.0,12.0,0.0,0.0
-1.33333333333333,1.0,12.0,2.39849681728797,0.0
-1.66666666666667,1.0,12.0,2.6561798051385,0.0
-2.33333333333333,1.0,12.0,10.7977037746396,0.0
-2.66666666666667,1.0,12.0,2.57569327776086,0.0
-3.33333333333333,1.0,12.0,4.33972515170416,0.0
-3.66666666666667,1.0,12.0,0.0,0.0
-0.0,1.33333333333333,12.0,0.0,0.0
-0.333333333333333,1.33333333333333,12.0,0.0,0.0
-0.666666666666667,1.33333333333333,12.0,0.0,0.0
-1.0,1.33333333333333,12.0,3.40348771744347,0.0
-1.33333333333333,1.33333333333333,12.0,0.0,0.0
-1.66666666666667,1.33333333333333,12.0,0.0,0.0
-2.0,1.33333333333333,12.0,0.0,0.0
-2.33333333333333,1.33333333333333,12.0,0.0,0.0
-2.66666666666667,1.33333333333333,12.0,0.0,0.0
-3.0,1.33333333333333,12.0,2.01643148210424,0.0
-3.33333333333333,1.33333333333333,12.0,0.0,0.0
-3.66666666666667,1.33333333333333,12.0,0.0,0.0
-4.0,1.33333333333333,12.0,0.0,0.0
-0.0,1.66666666666667,12.0,1.67365797807608,0.0
-0.333333333333333,1.66666666666667,12.0,0.0,0.0
-0.666666666666667,1.66666666666667,12.0,0.0,0.0
-1.0,1.66666666666667,12.0,2.65719821187303,0.0
-1.33333333333333,1.66666666666667,12.0,0.0,0.0
-1.66666666666667,1.66666666666667,12.0,0.0,0.0
-2.0,1.66666666666667,12.0,1.60778511638912,0.0
-2.33333333333333,1.66666666666667,12.0,0.0,0.0
-2.66666666666667,1.66666666666667,12.0,0.0,0.0
-3.0,1.66666666666667,12.0,1.53138412495027,0.0
-3.33333333333333,1.66666666666667,12.0,0.0,0.0
-3.66666666666667,1.66666666666667,12.0,0.0,0.0
-4.0,1.66666666666667,12.0,0.944014586787868,0.0
-0.333333333333333,2.0,12.0,0.939288071081349,0.0
-0.666666666666667,2.0,12.0,0.0,0.0
-1.33333333333333,2.0,12.0,6.18699455427326,0.0
-1.66666666666667,2.0,12.0,0.0,0.0
-2.33333333333333,2.0,12.0,2.25515549364405,0.0
-2.66666666666667,2.0,12.0,0.0,0.0
-3.33333333333333,2.0,12.0,7.82324089982402,0.0
-3.66666666666667,2.0,12.0,2.74178909676026,0.0
-0.0,2.33333333333333,12.0,3.55369805600014,0.0
-0.333333333333333,2.33333333333333,12.0,0.0,0.0
-0.666666666666667,2.33333333333333,12.0,0.0,0.0
-1.0,2.33333333333333,12.0,7.3602524047736,0.0
-1.33333333333333,2.33333333333333,12.0,0.0,0.0
-1.66666666666667,2.33333333333333,12.0,0.0,0.0
-2.0,2.33333333333333,12.0,1.82872773498284,0.0
-2.33333333333333,2.33333333333333,12.0,0.0,0.0
-2.66666666666667,2.33333333333333,12.0,0.0,0.0
-3.0,2.33333333333333,12.0,2.01514184883428,0.0
-3.33333333333333,2.33333333333333,12.0,0.0,0.0
-3.66666666666667,2.33333333333333,12.0,0.0,0.0
-0.0,2.66666666666667,12.0,0.0,0.0
-0.333333333333333,2.66666666666667,12.0,0.0,0.0
-0.666666666666667,2.66666666666667,12.0,0.0,0.0
-1.0,2.66666666666667,12.0,0.0,0.0
-1.33333333333333,2.66666666666667,12.0,0.0,0.0
-1.66666666666667,2.66666666666667,12.0,0.0,0.0
-2.0,2.66666666666667,12.0,0.905648597420166,0.0
-2.33333333333333,2.66666666666667,12.0,0.0,0.0
-2.66666666666667,2.66666666666667,12.0,0.0,0.0
-3.0,2.66666666666667,12.0,0.40487495645159,0.0
-3.33333333333333,2.66666666666667,12.0,0.0,0.0
-3.66666666666667,2.66666666666667,12.0,0.0,0.0
-4.0,2.66666666666667,12.0,0.540791664397119,0.0
-0.333333333333333,3.0,12.0,0.0,0.0
-0.666666666666667,3.0,12.0,0.0,0.0
-1.33333333333333,3.0,12.0,1.53910423472171,0.0
-1.66666666666667,3.0,12.0,0.0,0.0
-2.33333333333333,3.0,12.0,2.90361400651436,0.0
-2.66666666666667,3.0,12.0,0.0,0.0
-3.33333333333333,3.0,12.0,1.33283618305085,0.0
-3.66666666666667,3.0,12.0,2.23040675217966,0.0
-0.0,3.33333333333333,12.0,1.68328223701251,0.0
-0.333333333333333,3.33333333333333,12.0,0.0,0.0
-0.666666666666667,3.33333333333333,12.0,0.0,0.0
-1.0,3.33333333333333,12.0,1.26504976951851,0.0
-1.33333333333333,3.33333333333333,12.0,0.0,0.0
-1.66666666666667,3.33333333333333,12.0,0.0,0.0
-2.0,3.33333333333333,12.0,1.35521894268301,0.0
-2.33333333333333,3.33333333333333,12.0,0.0,0.0
-2.66666666666667,3.33333333333333,12.0,0.0,0.0
-3.0,3.33333333333333,12.0,0.845557556179485,0.0
-3.33333333333333,3.33333333333333,12.0,0.0,0.0
-3.66666666666667,3.33333333333333,12.0,0.0,0.0
-4.0,3.33333333333333,12.0,0.676608799537575,0.0
-0.0,3.66666666666667,12.0,0.546118561974355,0.0
-0.333333333333333,3.66666666666667,12.0,0.0,0.0
-0.666666666666667,3.66666666666667,12.0,0.0,0.0
-1.0,3.66666666666667,12.0,0.0,0.0
-1.33333333333333,3.66666666666667,12.0,0.0,0.0
-1.66666666666667,3.66666666666667,12.0,0.0,0.0
-2.0,3.66666666666667,12.0,0.641323384810215,0.0
-2.33333333333333,3.66666666666667,12.0,0.0,0.0
-2.66666666666667,3.66666666666667,12.0,0.0,0.0
-3.33333333333333,3.66666666666667,12.0,0.0,0.0
-3.66666666666667,3.66666666666667,12.0,0.0,0.0
-0.333333333333333,4.0,12.0,0.0,0.0
-0.666666666666667,4.0,12.0,0.380695431967708,0.0
-1.33333333333333,4.0,12.0,0.712439443466118,0.0
-1.66666666666667,4.0,12.0,0.0,0.0
