h,k,l,intensity_exp,intensity_exp_err
-1.11111111111111,0.0,0.0,0.0,0.0
-1.22222222222222,0.0,0.0,0.0,0.0
-1.33333333333333,0.0,0.0,0.461950545077908,0.0
-1.44444444444444,0.0,0.0,0.0,0.0
-1.55555555555556,0.0,0.0,0.0,0.0
-1.66666666666667,0.0,0.0,25.7217645599113,0.0
-1.77777777777778,0.0,0.0,182.509650155285,0.0
-1.88888888888889,0.0,0.0,0.0,0.0
-2.11111111111111,0.0,0.0,0.0,0.0
-2.22222222222222,0.0,0.0,0.0,0.0
-2.33333333333333,0.0,0.0,26.537974026138,0.0
-2.44444444444444,0.0,0.0,0.0,0.0
-2.55555555555556,0.0,0.0,0.0,0.0
-2.66666666666667,0.0,0.0,1.97425847082695,0.0
-2.77777777777778,0.0,0.0,0.0,0.0
-2.88888888888889,0.0,0.0,0.0,0.0
-3.11111111111111,0.0,0.0,0.0,0.0
-3.22222222222222,0.0,0.0,0.0,0.0
-3.33333333333333,0.0,0.0,6.34913107851771,0.0
-3.44444444444444,0.0,0.0,0.0,0.0
-3.55555555555556,0.0,0.0,23.1937173407361,0.0
-3.66666666666667,0.0,0.0,20.0230198974001,0.0
-3.77777777777778,0.0,0.0,0.0,0.0
-3.88888888888889,0.0,0.0,0.0,0.0
-4.11111111111111,0.0,0.0,0.0,0.0
-4.22222222222222,0.0,0.0,0.0,0.0
-4.33333333333333,0.0,0.0,14.320008967226,0.0
-4.44444444444444,0.0,0.0,0.0,0.0
-4.55555555555556,0.0,0.0,0.0,0.0
-4.66666666666667,0.0,0.0,1.06691937441798,0.0
-4.77777777777778,0.0,0.0,0.0,0.0
-4.88888888888889,0.0,0.0,0.0,0.0
-1.11111111111111,0.111111111111111,0.0,0.0,0.0
-1.22222222222222,0.111111111111111,0.0,0.0,0.0
-1.33333333333333,0.111111111111111,0.0,0.0,0.0
-1.44444444444444,0.111111111111111,0.0,0.0,0.0
-1.55555555555556,0.111111111111111,0.0,0.0,0.0
-1.66666666666667,0.111111111111111,0.0,0.0,0.0
-1.77777777777778,0.111111111111111,0.0,0.0,0.0
-1.88888888888889,0.111111111111111,0.0,7.18745970968626,0.0
-2.0,0.111111111111111,0.0,0.0,0.0
-2.11111111111111,0.111111111111111,0.0,0.0,0.0
-2.22222222222222,0.111111111111111,0.0,0.0,0.0
-2.33333333333333,0.111111111111111,0.0,0.0,0.0
-2.44444444444444,0.111111111111111,0.0,0.0,0.0
-2.55555555555556,0.111111111111111,0.0,0.0,0.0
-2.66666666666667,0.111111111111111,0.0,0.0,0.0
-2.77777777777778,0.111111111111111,0.0,0.0,0.0
-2.88888888888889,0.111111111111111,0.0,0.0,0.0
-3.0,0.111111111111111,0.0,0.0,0.0
-3.11111111111111,0.111111111111111,0.0,0.0,0.0
-3.22222222222222,0.111111111111111,0.0,0.0,0.0
-3.33333333333333,0.111111111111111,0.0,0.0,0.0
-3.44444444444444,0.111111111111111,0.0,0.0,0.0
-3.55555555555556,0.111111111111111,0.0,0.0,0.0
-3.66666666666667,0.111111111111111,0.0,0.0,0.0
-3.77777777777778,0.111111111111111,0.0,0.0,0.0
-3.88888888888889,0.111111111111111,0.0,0.0,0.0
-4.0,0.111111111111111,0.0,0.0,0.0
-4.11111111111111,0.111111111111111,0.0,0.0,0.0
-4.22222222222222,0.111111111111111,0.0,0.0,0.0
-4.33333333333333,0.111111111111111,0.0,0.0,0.0
-4.44444444444444,0.111111111111111,0.0,0.0,0.0
-4.55555555555556,0.111111111111111,0.0,0.0,0.0
-4.66666666666667,0.111111111111111,0.0,0.0,0.0
-4.77777777777778,0.111111111111111,0.0,0.0,0.0
-4.88888888888889,0.111111111111111,0.0,0.0,0.0
-5.0,0.111111111111111,0.0,0.0,0.0
-1.11111111111111,0.222222222222222,0.0,0.0,0.0
-1.22222222222222,0.222222222222222,0.0,0.0,0.0
-1.33333333333333,0.222222222222222,0.0,0.0,0.0
-1.44444444444444,0.222222222222222,0.0,0.0,0.0
-1.55555555555556,0.222222222222222,0.0,0.0,0.0
-1.66666666666667,0.222222222222222,0.0,0.0,0.0
-1.77777777777778,0.222222222222222,0.0,0.0,0.0
-1.88888888888889,0.222222222222222,0.0,0.0,0.0
-2.0,0.222222222222222,0.0,0.0,0.0
-2.11111111111111,0.222222222222222,0.0,0.0,0.0
-2.22222222222222,0.222222222222222,0.0,0.0,0.0
-2.33333333333333,0.222222222222222,0.0,0.0,0.0
-2.44444444444444,0.222222222222222,0.0,0.0,0.0
-2.55555555555556,0.222222222222222,0.0,0.0,0.0
-2.66666666666667,0.222222222222222,0.0,0.0,0.0
-2.77777777777778,0.222222222222222,0.0,0.0,0.0
-2.88888888888889,0.222222222222222,0.0,0.0,0.0
-3.0,0.222222222222222,0.0,0.0,0.0
